number,title,category,seo_fit,fit_tier,parent_occupation,onet_code,source
1,Cook,Food & Hospitality,0.98,Very High,"Cooks, Institution and Cafeteria",35-2012.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
2,Dean,Management,0.98,Very High,"Education Administrators, Postsecondary",11-9033.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
3,Host,"Arts, Media & Design",0.98,Very High,Broadcast Announcers and Radio Disc Jockeys,27-3011.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
4,Imam,Community & Social Services,0.98,Very High,Clergy,21-2011.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
5,Maid,Cleaning & Grounds,0.98,Very High,Maids and Housekeeping Cleaners,37-2012.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
6,Agent,Business & Finance,0.98,Very High,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
7,Baker,Manufacturing & Production,0.98,Very High,Bakers,51-3011.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
8,Baler,"Agriculture, Fishing & Forestry",0.98,Very High,Agricultural Equipment Operators,45-2091.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
9,Boner,Manufacturing & Production,0.98,Very High,"Meat, Poultry, and Fish Cutters and Trimmers",51-3022.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
10,Buyer,Business & Finance,0.98,Very High,"Wholesale and Retail Buyers, Except Farm Products",13-1022.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
11,Coach,"Arts, Media & Design",0.98,Very High,Coaches and Scouts,27-2022.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
12,Diver,"Installation, Maintenance & Repair",0.98,Very High,Commercial Divers,49-9092.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
13,Filer,Manufacturing & Production,0.98,Very High,"Grinding and Polishing Workers, Hand",51-9022.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
14,Fryer,Manufacturing & Production,0.98,Very High,Food Cooking Machine Operators and Tenders,51-3093.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
15,Gluer,Manufacturing & Production,0.98,Very High,Adhesive Bonding Machine Operators and Tenders,51-9191.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
16,Guide,Personal Care & Services,0.98,Very High,Tour Guides and Escorts,39-7011.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
17,Mixer,Manufacturing & Production,0.98,Very High,"Mixing and Blending Machine Setters, Operators, and Tenders",51-9023.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
18,Model,Sales,0.98,Very High,Models,41-9012.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
19,Nurse,Healthcare,0.98,Very High,Registered Nurses,29-1141.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
20,Oiler,"Installation, Maintenance & Repair",0.98,Very High,"Maintenance Workers, Machinery",49-9043.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
21,Pilot,Transportation & Logistics,0.98,Very High,Commercial Pilots,53-2012.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
22,Rabbi,Community & Social Services,0.98,Very High,Clergy,21-2011.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
23,Taper,Construction & Trades,0.98,Very High,Tapers,47-2082.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
24,Usher,Personal Care & Services,0.98,Very High,"Ushers, Lobby Attendants, and Ticket Takers",39-3031.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
25,Archer,Manufacturing & Production,0.98,Very High,Shoe Machine Operators and Tenders,51-6042.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
26,Author,"Arts, Media & Design",0.98,Very High,"Poets, Lyricists and Creative Writers",27-3043.05,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
27,Barber,Personal Care & Services,0.98,Very High,Barbers,39-5011.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
28,Booker,Business & Finance,0.98,Very High,"Agents and Business Managers of Artists, Performers, and Athletes",13-1011.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
29,Brewer,Manufacturing & Production,0.98,Very High,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",51-9012.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
30,Burner,Manufacturing & Production,0.98,Very High,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
31,Busser,Food & Hospitality,0.98,Very High,Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
32,Carhop,Food & Hospitality,0.98,Very High,Waiters and Waitresses,35-3031.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
33,Caster,Manufacturing & Production,0.98,Very High,"Pourers and Casters, Metal",51-4052.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
34,Coater,Manufacturing & Production,0.98,Very High,"Painting, Coating, and Decorating Workers",51-9123.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
35,Cutter,Manufacturing & Production,0.98,Very High,"Cutting and Slicing Machine Setters, Operators, and Tenders",51-9032.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
36,Dancer,"Arts, Media & Design",0.98,Very High,Dancers,27-2031.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
37,Decker,"Agriculture, Fishing & Forestry",0.98,Very High,Log Graders and Scalers,45-4023.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
38,Driver,Transportation & Logistics,0.98,Very High,Heavy and Tractor-Trailer Truck Drivers,53-3032.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
39,Editor,"Arts, Media & Design",0.98,Very High,Editors,27-3041.00,https://www.onetcenter.org/dictionary/30.3/excel/job_titles.html
